Function	Groups	Group Genes
aspartate family amino acid metabolic process	Group00	Rv1059|Rv1718|Rv2294|Rv2522c|Rv3015c|ansA|ask|dapC|dapD|folD|ilvA|lysA|mapA|mapB|metB|nadA|nadB|sahH|thrA|thrB|thrC
carbohydrate derivative metabolic process	Group02	Rv0111|Rv0228|Rv0295c|Rv0787A|Rv1002c|Rv1021|Rv1264|Rv1319c|Rv1506c|Rv1565c|Rv1700|Rv2553c|Rv2611c|Rv2953|Rv2957|Rv2983|Rv3032|Rv3137|Rv3382c|Rv3594|Rv3631|Rv3717|Rv3725|Rv3811|Rv3910|aceE|ackA|acpM|add|adk|aldC|alr|bacA|cdd|coaA|coaE|dacB1|dacB2|ddlA|deoA|deoD|devB|embC|eno|epiA|fabH|fadD22|fbiA|fbiB|fbpC|galU|gap|glfT2|glpD2|glpK|glpX|gmdA|gmk|gnd2|gpdA2|guaA|hpt|ispE|kdtB|lpdC|lpqI|lpqU|manA|mgtA|mptA|mrsA|mtr|murI|nagA|pbpA|pbpB|pgk|pimA|pknB|pks15|plsB1|pmmA|pmmB|ponA1|ppgK|ppk2|ppm1|pta|purC|purE|purH|purK|purL|pyrH|rmlB|rmlC|rodA|rpiB|sahH|sucC|tal|tesB2|tkt|tmk|tpi|trpC|ubiA|zwf2
carboxylic acid metabolic process	Group04	Rv0161|Rv0466|Rv0669c|Rv0694|Rv1059|Rv1129c|Rv1716|Rv1718|Rv1769|Rv1885c|Rv2294|Rv2522c|Rv2859c|Rv2949c|Rv2983|Rv3015c|Rv3137|Rv3329|Rv3382c|accD2|accD6|aceE|ackA|acpM|acpS|aldC|alr|amiB1|ansA|argS|aroE|aroG|ask|bioB|bioD|bioF1|cfp21|cobB|cobQ1|cysE|cysK1|dapC|dapD|echA18|echA21|echA8|echA9|egtD|eno|entC|fabG1|fabG4|fabH|fadA3|fadB3|fadD10|fadD11|fadD22|fadD30|fadD31|fadD34|fadD6|fadD7|fadD8|fadE20|fbiA|fbiB|folD|folK|fum|gadB|gap|gcvT|gdh|glnA2|glnA4|gltS|gnd2|guaA|hadB|hadC|hemA|hisS|htdX|htdY|ilvA|ilvC|ilvX|inhA|ispE|kasA|kasB|leuC|leuD|lpdC|ltp1|lysA|mapA|mapB|mbtE|mbtF|mbtM|mdh|metB|metS|mez|mhpE|mmpL3|nadA|nadB|nadC|nrp|oxcA|pca|pgk|pheS|pheT|pknA|pknB|pks1|pks12|pks15|pks17|pks5|pks6|pks7|pks8|pks9|plsB1|ppsA|ppsB|ppsC|ppsD|priA|proA|proC|prpC|sahH|serB2|serS|snoP|tesB2|thrA|thrB|thrC|thrS|tpi|trpA|trpB|trpC|trpD|trpS|tyrS|ufaA1|umaA
cell cycle process	Group05	Rv2147c|Rv2522c|ftsQ|ftsZ|scpB|smc
cellular component organization	Group12	Rv0526|Rv0528|Rv1021|Rv1251c|Rv1410c|Rv1478|Rv1626|Rv2147c|Rv2525c|Rv2553c|Rv2719c|Rv2752c|Rv2864c|Rv2949c|Rv2952|Rv2953|Rv2966c|Rv3201c|Rv3202c|Rv3649|Rv3673c|Rv3717|Rv3807c|Rv3910|Rv3921c|accD2|accD4|aftA|aftB|aftC|aftD|alr|aroG|bacA|ccdA|ccsA|cspA|dacB1|dacB2|ddlA|dnaB|dprE2|drrB|embA|embB|embC|engA|ercc3|fabG1|fadD22|fadD30|fbpB|fbpC|frr|ftsQ|ftsZ|gid|glfT2|gyrA|helZ|hupB|inhA|kasB|kdtB|lppX|lpqI|mfd|mmpL3|mmpL7|mrsA|murI|papA5|pbpA|pbpB|pknB|pknF|pks1|pks12|pks17|pks5|pks6|pks7|pks8|pks9|ponA1|ppsA|ppsB|ppsC|ppsD|priA|rbfA|recB|recC|recD|recG|rhlE|ripA|rodA|rplV|rpsS|ruvA|ruvB|smc|tesA|tlyA|topA|typA|ubiA|ufaA1|umaA
cellular polysaccharide metabolic process	Group06	Rv0111|Rv0228|Rv1565c|Rv3031|Rv3032|Rv3807c|aftA|aftB|aftC|aftD|celA1|dprE2|glfT2|glgP|rmlB|rmlC|treX|treY|treZ|ubiA|wbbL1
chromosome organization	Group13	Rv0605|Rv1251c|Rv1277|Rv1701|Rv2191|Rv2424c|Rv2681|Rv2752c|Rv2791c|Rv2792c|Rv2837c|Rv2885c|Rv2886c|Rv2978c|Rv2979c|Rv3201c|Rv3202c|Rv3649|Rv3828c|dnaB|dnaE1|dnaQ|engA|ercc3|ftsZ|gyrA|helZ|hupB|ligD|mfd|mku|pknF|priA|radA|recA|recB|recC|recD|recF|recG|recN|rhlE|rplV|rpsS|ruvA|ruvB|ruvC|smc|topA|typA|xerC|xseA|xseB|xthA
lipid biosynthetic process	Group10	Rv0111|Rv0183|Rv0221|Rv0228|Rv0295c|Rv0466|Rv0669c|Rv0785|Rv0895|Rv0913c|Rv1125|Rv1129c|Rv1506c|Rv1524|Rv1565c|Rv2565|Rv2611c|Rv2953|Rv2957|Rv3032|Rv3377c|Rv3378c|Rv3382c|Rv3631|accD2|accD6|acpM|acpS|aldC|cdh|cdsA|cfp21|drrB|echA18|echA21|echA8|embC|fabG1|fabG4|fabH|fadA3|fadB3|fadD10|fadD11|fadD22|fadD30|fadD31|fadD34|fadD6|fadD7|fadD8|fadE20|fbpC|glfT2|gpdA2|grcC1|hadB|hadC|htdX|htdY|idsA1|idsA2|idsB|inhA|ispE|kasA|kasB|lipC|lipG|ltp1|mbtE|mbtF|mbtM|mgtA|mmpL3|mmpL7|mptA|nrp|oxcA|papA5|pgsA1|pgsA2|phyA|pimA|pknA|pknB|pknF|pks1|pks12|pks15|pks17|pks5|pks6|pks7|pks8|pks9|plsB1|pmmA|ppm1|ppsA|ppsB|ppsC|ppsD|prpC|sapM|suhB|tesA|tesB2|tgs3|ubiA|ufaA1|umaA
nucleoside monophosphate kinase activity	Group07	adk|cmk|gmk|pyrH|tmk
organic cation transport	Group09	Rv1410c|Rv1457c|Rv3910|drrA|drrB|drrC|mmpL3|proV|proW|proX|proZ|rfbD|rodA
