NAME	generation of precursor metabolites and energy	tricarboxylic acid cycle	transport	ion transport	phosphate ion transport	NADH dehydrogenase (ubiquinone) activity	threonine biosynthetic process	primary active transmembrane transporter activity	organic cation transport	energy derivation by oxidation of organic compounds	electron transport coupled proton transport	propionate metabolic process	diaminopimelate biosynthetic process	active transmembrane transporter activity	transmembrane transporter activity	ATP synthesis coupled electron transport	biological process involved in interaction with host	transmembrane transport
generation of precursor metabolites and energy	1.0	0.33226837060702863	-0.11549295774647879	-0.1846153846153845	-0.11803278688524604	0.41009463722397466	-0.08910891089108906	0.3793103448275862	-0.11803278688524604	0.6676737160120847	0.12871287128712858	0.09836065573770462	-0.08910891089108906	0.3188854489164087	0.11869436201780416	0.17049180327868846	-0.521613832853026	0.011594202898550609
tricarboxylic acid cycle	0.33226837060702863	1.0	-0.23458038422649136	-0.1824104234527684	-0.08791208791208914	-0.1556420233463039	-0.07079646017699116	-0.1632653061224492	-0.08791208791208914	0.5689404934687954	-0.07079646017699116	0.4560439560439555	-0.07079646017699116	-0.17657045840407404	-0.20942408376963367	-0.08791208791208914	-0.2249718785151855	-0.2222222222222222
transport	-0.11549295774647879	-0.23458038422649136	1.0	0.5113524185587364	0.15210688591983548	0.37111334002006013	-0.08978328173374589	0.4065934065934065	0.15210688591983548	-0.09463414634146322	0.11455108359133127	-0.11921891058581711	-0.08978328173374589	0.4767096134786918	0.7135969141755061	0.15210688591983548	-0.12393566698202454	0.8433048433048432
ion transport	-0.1846153846153845	-0.1824104234527684	0.5113524185587364	1.0	0.3866171003717472	0.08895705521472393	-0.08092485549132986	0.1639344262295085	0.3866171003717472	-0.05095541401273896	0.30057803468208066	-0.10408921933085487	-0.08092485549132986	0.30183356840620607	0.45130641330166255	0.14126394052044602	0.18996798292422626	0.4967320261437908
phosphate ion transport	-0.11803278688524604	-0.08791208791208914	0.15210688591983548	0.3866171003717472	1.0	-0.09478672985781947	-0.05479452054794578	0.048780487804878335	-0.06451612903225841	-0.10880000000000005	-0.05479452054794578	-0.06451612903225841	-0.05479452054794578	0.2868369351669938	0.16573033707865154	-0.06451612903225841	0.11435239206534407	0.20289855072463772
NADH dehydrogenase (ubiquinone) activity	0.41009463722397466	-0.1556420233463039	0.37111334002006013	0.08895705521472393	-0.09478672985781947	1.0	-0.07518796992481153	0.9433962264150944	-0.09478672985781947	0.3134535367545079	0.421052631578947	-0.09478672985781947	-0.07518796992481153	0.8426073131955483	0.5822784810126582	0.5308056872037916	-0.1303867403314919	0.4761904761904761
threonine biosynthetic process	-0.08910891089108906	-0.07079646017699116	-0.08978328173374589	-0.08092485549132986	-0.05479452054794578	-0.07518796992481153	1.0	-0.07692307692307623	-0.05479452054794578	-0.08374384236453188	-0.047619047619047436	-0.05479452054794578	0.6507936507936504	-0.0797546012269934	-0.08583690987124482	-0.05479452054794578	-0.0883392226148412	-0.08791208791208792
primary active transmembrane transporter activity	0.3793103448275862	-0.1632653061224492	0.4065934065934065	0.1639344262295085	0.048780487804878335	0.9433962264150944	-0.07692307692307623	1.0	-0.0975609756097556	0.28358208955223896	0.3846153846153844	-0.0975609756097556	-0.07692307692307623	0.8983050847457624	0.6301369863013698	0.4878048780487809	-0.08433734939759037	0.5185185185185185
organic cation transport	-0.11803278688524604	-0.08791208791208914	0.15210688591983548	0.3866171003717472	-0.06451612903225841	-0.09478672985781947	-0.05479452054794578	-0.0975609756097556	1.0	-0.10880000000000005	-0.05479452054794578	-0.06451612903225841	-0.05479452054794578	-0.1021611001964641	0.07303370786516847	-0.06451612903225841	0.11435239206534407	0.12318840579710125
energy derivation by oxidation of organic compounds	0.6676737160120847	0.5689404934687954	-0.09463414634146322	-0.05095541401273896	-0.10880000000000005	0.3134535367545079	-0.08374384236453188	0.28358208955223896	-0.10880000000000005	1.0	0.24137931034482746	0.2079999999999997	-0.08374384236453188	0.22756827048114447	0.06356413166855837	0.31359999999999966	-0.3048907388137357	-0.01269841269841257
