NAME	transition metal ion transport	DNA-binding transcription repressor activity	response to hypoxia	amino acid transmembrane transport	regulation of transcription, DNA-templated	iron ion transport	cellular ion homeostasis	cellular iron ion homeostasis	cellular response to starvation	response to heat	negative regulation of metabolic process	response to inorganic substance	response to metal ion	response to zinc ion	cellular response to iron ion starvation	regulation of gene expression	negative regulation of macromolecule biosynthetic process	iron-sulfur cluster assembly	nonribosomal peptide biosynthetic process	regulation of metabolic process	siderophore biosynthetic process	aromatic compound biosynthetic process	catechol-containing siderophore biosynthetic process	cellular homeostasis	negative regulation of cellular metabolic process	siderophore-dependent iron import into cell	cellular response to stress	iron ion transmembrane transport	homeostatic process	urea catabolic process	alkane catabolic process	secondary metabolite biosynthetic process	negative regulation of transcription, DNA-templated	phenol-containing compound biosynthetic process	response to cadmium ion	response to copper ion	negative regulation of nitrogen compound metabolic process	negative regulation of RNA metabolic process	transition metal ion homeostasis	response to host iron concentration	inorganic ion homeostasis	organic hydroxy compound metabolic process	organic hydroxy compound biosynthetic process	response to oxygen-containing compound	cellular response to oxygen-containing compound
transition metal ion transport	1.0	-0.031250000000002484	-0.07812500000000079	-0.03846153846153862	-0.0999999999999996	0.7589285714285712	0.4374999999999997	0.46428571428571364	0.2500000000000002	-0.04999999999999898	-0.08173076923076922	0.056451612903226034	0.13068181818181832	-0.031250000000002484	0.3125000000000007	-0.10416666666666699	-0.07386363636363626	-0.03846153846153862	-0.06875000000000082	-0.10491071428571427	-0.06249999999999975	-0.10999999999999988	-0.054687500000002054	0.3333333333333333	-0.07812500000000079	0.5312500000000001	0.09375000000000062	0.5312500000000001	0.37931034482758597	-0.031250000000002484	-0.031250000000002484	-0.07142857142857272	-0.06875000000000082	-0.058823529411764955	-0.031250000000002484	0.08593749999999879	-0.07608695652173865	-0.07142857142857272	0.5108695652173914	0.3076923076923076	0.48437499999999956	-0.09191176470588253	-0.07608695652173865	-0.07386363636363626	-0.04999999999999898
DNA-binding transcription repressor activity	-0.031250000000002484	1.0	-0.035971223021581886	-0.02439024390243971	0.12000000000000002	-0.026737967914439272	-0.035040431266847374	-0.03448275862069068	-0.03448275862069068	-0.028571428571429407	0.27429805615550845	0.21107266435986216	0.3530997304582209	0.3191489361702133	-0.03225806451612996	0.0894308943089432	0.3530997304582209	-0.02439024390243971	-0.033846153846156066	0.08412836079791855	-0.03225806451612996	0.04905660377358485	-0.03004291845493821	-0.03703703703703648	0.30935251798561203	-0.021276595744684268	-0.03896103896103895	-0.021276595744684268	-0.03759398496240638	-0.021276595744684268	-0.021276595744684268	0.10344827586206763	0.4092307692307688	-0.031250000000002484	-0.021276595744684268	0.3819742489270378	0.32994923857868075	0.3793103448275861	-0.0355329949238579	-0.02439024390243971	-0.035971223021581886	-0.0386398763523962	-0.0355329949238579	-0.035040431266847374	-0.028571428571429407
response to hypoxia	-0.07812500000000079	-0.035971223021581886	1.0	-0.045871559633027054	0.011494252873563544	-0.05494505494505483	-0.10708401976935808	-0.10204081632653093	-0.10204081632653093	0.1392405063291131	-0.054172767203513744	0.10539845758354717	-0.10708401976935808	-0.035971223021581886	-0.0847457627118639	-0.027160493827160643	-0.028006589785832776	-0.045871559633027054	-0.09666080843585168	-0.03431763766959272	-0.0847457627118639	-0.08550185873605955	-0.07099391480730272	-0.05982905982906047	-0.041860465116279076	-0.035971223021581886	0.06529209621993137	-0.035971223021581886	-0.07027027027026961	-0.035971223021581886	-0.035971223021581886	-0.10204081632653093	-0.012302284710017241	-0.07812500000000079	-0.035971223021581886	-0.07099391480730272	-0.03514376996805088	-0.02040816326530604	-0.11182108626198031	-0.045871559633027054	-0.11627906976744087	0.02275449101796426	-0.11182108626198031	0.2092257001647444	0.037974683544303285
amino acid transmembrane transport	-0.03846153846153862	-0.02439024390243971	-0.045871559633027054	1.0	-0.052631578947368224	-0.03184713375796146	-0.044368600682593795	-0.043478260869564314	-0.043478260869564314	-0.03448275862069068	-0.047091412742382266	-0.049327354260090245	-0.044368600682593795	-0.02439024390243971	-0.040000000000001174	-0.053763440860215214	-0.044368600682593795	-0.028571428571426576	-0.04247104247104413	-0.05396096440872595	-0.040000000000001174	-0.05527638190954761	-0.03664921465968645	0.047619047619047436	-0.045871559633027054	-0.02439024390243971	-0.05084745762711902	-0.02439024390243971	0.03883495145631084	-0.02439024390243971	-0.02439024390243971	-0.043478260869564314	-0.04247104247104413	-0.03846153846153862	-0.02439024390243971	-0.03664921465968645	-0.04516129032258134	-0.043478260869564314	-0.04516129032258134	-0.028571428571426576	-0.045871559633027054	-0.05030181086519124	-0.04516129032258134	-0.044368600682593795	-0.03448275862069068
regulation of transcription, DNA-templated	-0.0999999999999996	0.12000000000000002	0.011494252873563544	-0.052631578947368224	1.0	-0.06493506493506514	-0.15294117647058803	-0.14285714285714313	-0.14285714285714313	0.07692307692307705	0.34831460674157344	0.19148936170212763	0.17647058823529427	0.06666666666666644	-0.1111111111111111	0.8461538461538461	0.36470588235294105	-0.052631578947368224	-0.08433734939759045	0.8151260504201682	-0.06172839506172857	0.5652173913043477	-0.037974683544304076	-0.11111111111111142	0.3793103448275863	-0.04000000000000029	-0.1515151515151513	-0.04000000000000029	-0.1304347826086959	-0.04000000000000029	-0.04000000000000029	-0.04761904761904784	0.3975903614457829	-0.0499999999999998	0.013333333333333287	0.0632911392405065	0.3953488372093025	0.4285714285714286	-0.1627906976744188	-0.052631578947368224	-0.172413793103448	-0.21649484536082503	-0.11627906976744222	-0.011764705882352521	-0.07692307692307664
iron ion transport	0.7589285714285712	-0.026737967914439272	-0.05494505494505483	-0.03184713375796146	-0.06493506493506514	1.0	0.5320877335499588	0.5670103092783504	0.3195876288659803	-0.039370078740158666	-0.05670446964643157	0.018538713195201437	0.06417546709991753	-0.026737967914439272	0.40186915887850616	-0.06666666666666651	-0.052802599512592314	-0.03184713375796146	-0.05013673655423773	-0.06697064690795079	-0.04672897196261572	-0.06900878293600982	-0.04221954161640557	0.40229885057471243	-0.05494505494505483	0.7433155080213912	0.13692946058091354	0.7433155080213912	0.36470588235294155	-0.026737967914439272	-0.026737967914439272	-0.05154639175257677	-0.05013673655423773	-0.04464285714285667	-0.026737967914439272	-0.04221954161640557	-0.053929121725732276	-0.05154639175257677	0.500770416024653	0.4267515923566875	0.47252747252747257	-0.061425061425061066	-0.053929121725732276	-0.052802599512592314	-0.039370078740158666
cellular ion homeostasis	0.4374999999999997	-0.035040431266847374	-0.10708401976935808	-0.044368600682593795	-0.15294117647058803	0.5320877335499588	1.0	0.956204379562044	0.6934306569343064	-0.06046511627906971	-0.03971119133574084	-0.06356311548791413	-0.014679976512038454	-0.035040431266847374	0.8036809815950918	-0.16290726817042622	-0.09923664122137466	0.07849829351535795	0.18233438485804404	-0.12590994877325454	0.21472392638036805	-0.1180124223602486	0.1460340993328385	0.8198198198198199	-0.028006589785832776	0.3530997304582209	0.37366548042704606	0.3530997304582209	0.7618147448015125	-0.035040431266847374	-0.035040431266847374	0.1678832116788326	-0.09022082018927516	0.13068181818181832	-0.035040431266847374	-0.06745737583395194	-0.10329171396140736	-0.09489051094890497	0.8774120317820663	0.2013651877133099	0.9209225700164747	0.04437992534218166	0.1418842224744608	-0.014679976512038454	0.05116279069767409
cellular iron ion homeostasis	0.46428571428571364	-0.03448275862069068	-0.10204081632653093	-0.043478260869564314	-0.14285714285714313	0.5670103092783504	0.956204379562044	1.0	0.7272727272727273	-0.05882352941176448	-0.10828025477707012	-0.05494505494505604	-0.0072992700729936156	-0.03448275862069068	0.8461538461538458	-0.15151515151515124	-0.09489051094890497	0.08695652173912985	0.19685039370078777	-0.15309446254071696	0.23076923076923084	-0.10447761194029849	0.15887850467289713	0.7777777777777781	-0.10204081632653093	0.3793103448275861	0.3913043478260869	0.3793103448275861	0.7209302325581398	-0.03448275862069068	-0.03448275862069068	0.1818181818181825	-0.08661417322834668	0.1428571428571426	-0.03448275862069068	-0.06542056074766459	-0.09859154929577474	-0.09090909090909137	0.9154929577464792	0.21739130434782677	0.8775510204081636	0.055837563451777227	0.1549295774647885	-0.0072992700729936156	0.05882352941176537
cellular response to starvation	0.2500000000000002	-0.03448275862069068	-0.10204081632653093	-0.043478260869564314	-0.14285714285714313	0.3195876288659803	0.6934306569343064	0.7272727272727273	1.0	-0.05882352941176448	-0.10828025477707012	-0.12087912087912116	-0.09489051094890497	-0.03448275862069068	0.8461538461538458	-0.15151515151515124	-0.09489051094890497	-0.043478260869564314	0.19685039370078777	-0.15309446254071696	0.23076923076923084	-0.07462686567164202	0.15887850467289713	0.5555555555555556	-0.10204081632653093	0.3793103448275861	0.565217391304348	0.2413793103448268	0.511627906976744	-0.03448275862069068	-0.03448275862069068	0.1818181818181825	-0.08661417322834668	0.1428571428571426	-0.03448275862069068	-0.06542056074766459	-0.09859154929577474	-0.09090909090909137	0.6619718309859154	0.21739130434782677	0.6326530612244897	0.055837563451777227	0.1549295774647885	-0.0072992700729936156	0.05882352941176537
response to heat	-0.04999999999999898	-0.028571428571429407	0.1392405063291131	-0.03448275862069068	0.07692307692307705	-0.039370078740158666	-0.06046511627906971	-0.05882352941176448	-0.05882352941176448	1.0	-0.06563706563706605	0.08280254777070108	0.05116279069767409	-0.028571428571429407	-0.052631578947367655	0.08994708994708983	-0.06046511627906971	-0.03448275862069068	-0.05699481865284829	0.08319185059422758	-0.052631578947367655	0.0075187969924811774	-0.04697986577181078	-0.0666666666666672	-0.06329113924050564	-0.028571428571429407	0.12195121951219542	-0.028571428571429407	-0.06849315068493148	-0.028571428571429407	-0.028571428571429407	-0.05882352941176448	-0.05699481865284829	-0.04999999999999898	-0.028571428571429407	0.11409395973154414	-0.061946902654867346	-0.05882352941176448	-0.061946902654867346	-0.03448275862069068	-0.06329113924050564	-0.07204610951008568	-0.061946902654867346	0.16279069767441864	0.1304347826086941
